title,subject,type,id,family_name,given_name
Untersuchungen der spezifischen Wirkung des Kohlendioxids auf das isolierte Meerschweinchen-Ileum.,Pharmakologie,Habilitation,aecf8d1a-ae39-58eb-0e8c-4d4c60aae1d3,Kiese,Manfred
"Pharmakologische Untersuchungen an der glatten Muskulatur der Lunge, insbesondere mit einigen ephedrinartigen Substanzen.",Medizin,Dissertation,aecf8d1a-ae39-58eb-0e8c-4d4c60aae1d3,Kiese,Manfred
,Geschichte oder Geographie,Dissertation,b604b98e-68e6-0254-b4cc-4d4c6026706b,Schlenger,Herbert
,Geographie,Habilitation,b604b98e-68e6-0254-b4cc-4d4c6026706b,Schlenger,Herbert
,Augenheilkunde,Habilitation,b1eb1e3c-1058-17ca-5037-4d4c603f9097,Meesmann,Alois
Über Veränderungen des papillomakulären Bündels im Sehnerven bei Erkrankungen der Nebenhöhlen der Nase.,Medizin,Dissertation,b1eb1e3c-1058-17ca-5037-4d4c603f9097,Meesmann,Alois
Systeme linearer Differentialgleichungen unendlich hoher Ordnung mit Polynomen beschränkten Grades als Koeffizienten.,Mathematik,Habilitation,459b1446-a054-6a8c-26a6-4d4c60eb71fb,Lettenmeyer,Fritz
"Bestimmung aller Flächen und Kurven, die ein Geradenbündel unter konstantem Winkel schneiden, nebst einer Verallgemeinerung dieser Aufgabe.",Mathematik,Dissertation,459b1446-a054-6a8c-26a6-4d4c60eb71fb,Lettenmeyer,Fritz
Über die Lebens- und Berufsaussichten der Herzkranken mit intraventrikulären Reizleitungsstörungen.,Medizin,,72c2b6e1-afb0-b2a0-2253-4d4c605062fd,Speckmann,Klaus-Dietrich Albert
Über vasomotorisch-vegetative Ausfallerscheinungen.,Medizin,,72c2b6e1-afb0-b2a0-2253-4d4c605062fd,Speckmann,Klaus-Dietrich Albert
Beiträge zur Kenntnis des männlichen Gametophyten der Angiospermen.,Botanik,Dissertation,963c9ff0-66b6-a0f9-eec3-4d4c60ba2cea,Wulff,Heinz Diedrich
Karyologische Untersuchungen an der Halophytenflora Schleswig-Holsteins.,Botanik,Habilitation,963c9ff0-66b6-a0f9-eec3-4d4c60ba2cea,Wulff,Heinz Diedrich
"Strahlungs-, Temperatur- und Potentialmessungen in Entladungsröhren mit starken Strömen.",Physik,Dissertation,b4df1c6e-cf00-d227-71bf-4d4c6025dd9a,Geiger,Hans
Sammlung von Arbeiten über die Reichweitemessung von Alphateilchen.,Physik,Habilitation,b4df1c6e-cf00-d227-71bf-4d4c6025dd9a,Geiger,Hans
Bakteriologische Untersuchungen an den intrazellulären Bakterien von Pelomyxa pal.,"Zoologie, Chemie und Botanik",Dissertation,5139f5bf-92e7-d994-acc5-4ed381d042f4,Keller,Herbert
Über eine Modifikation der Abderhalden'schen Reaktion.,Medizin,Dissertation,5139f5bf-92e7-d994-acc5-4ed381d042f4,Keller,Herbert
,Organische Chemie unter besonderer Berücksichtigung der Grenzgebiete Physiologische Chemie und Biochemie,Habilitation,5139f5bf-92e7-d994-acc5-4ed381d042f4,Keller,Herbert
Die Lehre von der adäquaten Verursachung.,Rechtswissenschaften,Dissertation,4b65034d-9e6b-ebd1-a5b2-4d4c60f940c0,Radbruch,Gustav Lambert
Der Handlungsbegriff in seiner Bedeutung für das Strafrechtssystem.,"Strafrecht, Strafprozeßrecht",Habilitation,4b65034d-9e6b-ebd1-a5b2-4d4c60f940c0,Radbruch,Gustav Lambert
Ueber innerliche Anwendung von g-Strophanthin Thoms : Klinische und pharmakologische Untersuchungen,Medizin,Dissertation,2b328392-4b98-02a8-ca97-4d4c60427cb3,Linzenmeier,Georg
Der Verschluss des Ductus Botalli nach der Geburt,Geburtshilfe Gynäkologie,,2b328392-4b98-02a8-ca97-4d4c60427cb3,Linzenmeier,Georg
